number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_target_update_interval,params_train_freq,user_attrs_avg_stopped,user_attrs_teleports,user_attrs_throughput,state
0,0.7285339985094872,2026-08-11 13:19:08.918850,2026-08-11 13:23:15.794641,0 days 00:04:06.875791,128,20000,0.05253743272366792,0.3006517446025285,0.9276109300709319,0.00014806423850601463,500,1,55.97430167597766,0.0,2161.3,COMPLETE
1,59.65438965026033,2026-08-11 13:23:15.812612,2026-08-11 13:27:41.960806,0 days 00:04:26.148194,32,20000,0.04948047350905844,0.21608945532178547,0.9130730925775207,1.4115651966845565e-05,5000,8,138.4659217877095,0.0,1496.5,COMPLETE
2,0.751222994813158,2026-08-11 13:27:41.976188,2026-08-11 13:32:08.062516,0 days 00:04:26.086328,128,50000,0.07600414846013667,0.4986379976640757,0.9011136624382878,0.0004979656124523452,500,8,56.5245810055866,0.0,2166.2,COMPLETE
3,0.7376972144083893,2026-08-11 13:32:08.077273,2026-08-11 13:36:09.658184,0 days 00:04:01.580911,64,50000,0.047140275215573985,0.3517537836889395,0.924477418892921,0.00036178653130223925,500,1,57.0,0.0,2164.3,COMPLETE
4,0.7633216512501453,2026-08-11 13:36:09.673568,2026-08-11 13:40:48.913492,0 days 00:04:39.239924,64,20000,0.09146877092623194,0.23976535899111232,0.9366559694155898,0.00016006924851754624,500,8,67.94525139664805,0.0,2121.3,COMPLETE
5,0.6888321777746316,2026-08-11 13:40:48.928276,2026-08-11 13:45:01.179947,0 days 00:04:12.251671,64,10000,0.0292062039639567,0.266094112410447,0.9057085798572455,2.9241959974885168e-05,500,1,62.32625698324023,0.0,2125.0,COMPLETE
6,3.2619660572851217,2026-08-11 13:45:01.195996,2026-08-11 13:46:06.453110,0 days 00:01:05.257114,64,20000,0.08444941452046562,0.22660358155636004,0.933427930120817,9.534341306515101e-05,5000,4,,,,PRUNED
7,1.8631320451873867,2026-08-11 13:46:06.465856,2026-08-11 13:46:55.755997,0 days 00:00:49.290141,64,20000,0.09641628255192781,0.40216933517810294,0.9107175816837189,8.798862754945729e-05,5000,1,,,,PRUNED
8,1.3380890717432656,2026-08-11 13:46:55.769237,2026-08-11 13:48:46.360234,0 days 00:01:50.590997,32,20000,0.054598373819849146,0.43279217458690256,0.9413343707733315,1.0552515081197238e-05,500,4,,,,PRUNED
9,1.3360175172665647,2026-08-11 13:48:46.372827,2026-08-11 13:50:20.359467,0 days 00:01:33.986640,64,10000,0.07980816101570183,0.3872066178822259,0.996043976463901,5.270533340377884e-05,5000,1,,,,PRUNED
10,0.6683542697643331,2026-08-11 13:50:20.372306,2026-08-11 13:54:32.283884,0 days 00:04:11.911578,32,10000,0.013667536200749427,0.16485583650644015,0.965920896303149,3.068027545160424e-05,1000,1,58.52402234636871,0.0,2130.4,COMPLETE
11,2.210307256494444,2026-08-11 13:54:32.299523,2026-08-11 13:55:22.819352,0 days 00:00:50.519829,32,10000,0.01744946508122535,0.10809403332204512,0.9651991276118507,2.5160983582970953e-05,1000,1,,,,PRUNED
12,0.6603544424313813,2026-08-11 13:55:22.824772,2026-08-11 14:32:13.864448,0 days 00:36:51.039676,32,10000,0.012499425774780826,0.1213831178128228,0.9633130376904592,3.1886902305303377e-05,1000,1,62.77150837988827,0.0,2116.8,COMPLETE
